game,title,category,good
B0009Z3HVA,Madagascar Operation Penguin,"{'Game Boy Advance', 'Games', 'Retro Gaming & Microconsoles'}",False
B000G29GA2,Nintendo DS Lite with Tetris Bundle,{'Nintendo DS'},False
B00U1BWUZ6,Skinhub Animal Crossing Leaf Game Skin for The Nintendo New 3DS XL Console,"{'Faceplates, Protectors & Skins', 'Accessories', 'Skins', 'Nintendo 3DS & 2DS'}",True
B001VMQD8O,American Crafts 6-Inch by 12-Inch Page Protectors,"{'PC', 'Accessories'}",False
B007TO55EQ,Alphaline Wii 10ft A/V Component Cable 39244,"{'Wii', 'Accessories'}",False
B000VBISM0,Castlevania The Dracula X Chronicles,"{'Games', 'Sony PSP'}",True
B000ZT0ZXI,Nuo Tech  Chloe Dao Mobile Tech Handbag: Pattern Pink Lips,"{'Cases & Storage', 'Nintendo DS', 'Accessories'}",True
B001GBF0FC,Nintendo DS Lite Game Traveler Purse - Blue,"{'Cases & Storage', 'Nintendo DS', 'Accessories'}",True
B0038LBAJI,DSL/DSi Disney Console Clutch - Princess,"{'Cases & Storage', 'Nintendo DS', 'Accessories'}",True
B007K96O18,Baby Milo Gold Nintendo DS Lite Complete Full Housing Shell Case Replacement Repair w/ Hinge Set,"{'Cases & Storage', 'Nintendo DS', 'Accessories'}",False
